cliente_edad,cliente_genero,cliente_estado_civil,numero_hijos_o_dependientes,nivel_educativo,ocupacion_profesion,ingresos_estimados_rango,monto_reserva,metodo_pago,fecha_reserva,tiempo_reserva,lote_ubicacion,fecha_limite,lote_precio,lote_id,manzana,asesor,numero_visitas_proyecto_antes,numero_visitas_proyecto_despues,canal_contacto,tiempo_promedio_decision_antes_compra_dias,nivel_respuesta,promesa_regalo,cerca_avenidas,cerca_colegios,cerca_parques,estado_final,compra_final
39,M,viudo,4,secundaria,Contador,<1500,300,tarjeta,2025-04-20,44,"Paseo de Herminia Gilabert, Santa Cruz de Tenerife",2025-06-03,72790,Villa Los OlivosB2,B,Pedro Sánchez,1,0,WhatsApp,5,rapido,no,0,0,1,reservado,0
57,M,soltero,3,secundaria,Comerciante,1500-3000,200,tarjeta,2025-11-28,21,"Urbanización de Amaro Balaguer, Soria",2025-12-19,159974,Jardines del ValleA6,A,Pedro Sánchez,1,1,WhatsApp,34,rapido,no,1,1,0,transferido,1
46,F,conviviente,4,tecnico,Doctor,3000-5000,200,yape,2025-10-29,31,"Plaza Eugenio Fuster, Cuenca",2025-11-29,74312,Villa Los OlivosE1,E,Ana Torres,1,1,Página Web,7,rapido,sí,0,0,1,transferido,1
54,M,conviviente,1,tecnico,Profesor,1500-3000,300,efectivo,2025-12-06,43,"Cuesta Delia Fuertes, Salamanca",2026-01-18,144800,Residencial SolF39,F,María Gómez,2,2,Evento,20,tardio,sí,0,0,1,transferido,0
30,M,divorciado,4,tecnico,Arquitecto,<1500,200,transferencia,2025-09-28,47,"Pasadizo Priscila Rosselló, Madrid",2025-11-14,168858,Villa Los OlivosB3,B,María Gómez,0,1,Referido,40,rapido,no,0,1,1,transferido,0
29,M,soltero,4,secundaria,Comerciante,1500-3000,200,transferencia,2025-01-30,31,"Urbanización de Narciso Reyes, Barcelona",2025-03-02,171178,Jardines del ValleF23,F,Luis Pérez,0,0,Instagram,33,rapido,no,1,0,1,transferido,0
39,M,soltero,0,tecnico,Arquitecto,<1500,300,efectivo,2025-09-05,20,"Vial Humberto Benavides, Santa Cruz de Tenerife",2025-09-25,67350,Villa Los OlivosI15,I,María Gómez,2,1,Referido,18,tardio,no,0,0,0,transferido,0
41,M,conviviente,4,secundaria,Doctor,3000-5000,400,tarjeta,2025-11-13,54,"Pasaje Gracia Ferrándiz, Cádiz",2026-01-06,118876,Jardines del ValleH26,H,Pedro Sánchez,0,0,Evento,37,rapido,no,0,0,1,transferido,0
57,F,casado,0,postgrado,Ingeniero,<1500,200,tarjeta,2025-03-18,47,"Camino de Luis Aparicio, Zamora",2025-05-04,90066,Villa Los OlivosG24,G,Ana Torres,0,0,Facebook,45,rapido,sí,0,0,1,transferido,0
49,F,soltero,1,universitario,Comerciante,3000-5000,100,yape,2025-09-10,50,"Rambla Merche Ortega, Badajoz",2025-10-30,80029,Villa Los OlivosG39,G,Ana Torres,0,1,Evento,16,tardio,no,1,1,0,transferido,0
